on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
496,Hāʻupu mauna kilohana i ka laʻi.,"Hāʻupu, a mountain outstanding in the calm.","Said of a person of outstanding achievement. Also used in praise of Hāʻupu, Kauaʻi.",haw-h.htm#haupeepee,ON-conc-h-full.htm
497,Hau wawā ka nahele.,A din in the forest.,Rumors and gossip abroad.,haw-h.htm#hau,ON-conc-h-full.htm
498,Hāwaʻe kai nui.,Hāwaʻe full of liquid.,An ignoramus. Hāwaʻe is a short-spined sea urchin that is full of liquid and has no meat. Also expressed as Hāwaʻe ʻiʻo ʻole (meatless hāwaʻe).,haw-h.htm#hawae,ON-conc-h-full.htm
499,Hawahawa ka lima.,The hand is smeared with filth.,"From a children’s game in which one made a number of sand piles and buried filth in one of them. When a child dug into the sand and drew out a hand smeared with filth, the others shouted this. Also used to imply that one is taking part in a shady deal.",haw-h.htm#hawahawa,ON-conc-h-full.htm
500,Hawahawa ka lima i ka haʻi kūkae.,The hand is only soiled by the excreta of others.,Sometimes said when an adopted child proves ungrateful or is taken away by its own parents. All one gets are soiled hands.,haw-h.htm#hawahawa,ON-conc-h-full.htm
501,Hawaiʻi kuauli.,Hawaiʻi with the verdant country.,Keawe (Keawe-i-kekahi-aliʻi-o-ka-moku) was a ruler of Hawaiʻi.,haw-h.htm#hawahawa,ON-conc-h-full.htm
502,Hawaiʻi nui a Keawe.,"Hawaiʻi, great island of Keawe.",Keawe (Keawe-i-kekahi-aliʻi-o-ka-moku) was a ruler of Hawaiʻi.,haw-h.htm#hawahawa,ON-conc-h-full.htm
503,Hawaiʻi palu lāʻī.,Ti-leaf lickers of Hawaii.,"This saying originated after Kamehameha conquered the island of Oʻahu. The people of Kailua, Oʻahu, gave a great feast for him, not expecting him to bring such a crowd of people. The first to arrive ate up the meat, so the second group had to be content with licking and nibbling at the bits of meat that adhered to the ti leaves. In derision, the people of Oʻahu called them “ti-leaf lickers.”",haw-h.htm#hawahawa,ON-conc-h-full.htm
504,Hāwāwā ka heʻe nalu haki ka papa.,"When the surf rider is unskilled, the board is broken.","An unskilled worker bungles instead of being a help. There is also a sexual connotation: When the man is unskilled, the woman is dissatisfied.",haw-h.htm#haki,ON-conc-h-full.htm
505,"Hāwele kīlau i ka lemu, ʻāhaʻi ka puaʻa i ka waha; ke hele nei ʻo Poʻokea.",Draw the fine loincloth under the buttocks; the pork finds its way into the mouth; Poʻokea now departs.,"Poʻokea was a very clever thief during the reign of Kahekili of Maui. Whenever he eluded his pursuers, this was his favorite boast. Any reference to one as being a descendant or relative of Poʻokea implies that he is a thief who steals and runs.",haw-a.htm#ahai,ON-conc-a-full.htm
506,He ʻā ʻaki maunu.,An ʻā fish that takes the bait off the hooks.,A petty thief.,haw-a.htm#a,ON-conc-a-full.htm
507,He ʻaʻaliʻi kū makani mai au; ʻaʻohe makani nāna e kulaʻi.,I am a wind-resisting ʻaʻaliʻi; no gale can push me over.,"A boast meaning “I can hold my own even in the face of difficulties.” The ʻaʻaliʻi bush can stand the worst of gales, twisting and bending but seldom breaking off or falling over.",haw-a.htm#aalii,ON-conc-a-full.htm
508,He aha aku nei kau i Konahuanui?,What were you at Konahuanui for?,To dream of seeing the private parts exposed is a sign that there will be no luck on the following day.,haw-a.htm#aha,ON-conc-a-full.htm
509,"He aha ka hala i kapuhia ai ka leo, i hoʻokuli mai ai?","What was the wrong that forbade the voice, that caused the deafness?",What causes you to refuse to speak or listen to me?,haw-a.htm#aha,ON-conc-a-full.htm
510,He aha ka puana o ka moe?,What is the answer to the dream?,What will the result of this be?,haw-a.htm#aha,ON-conc-a-full.htm
511,He aha kāu o ka lapa manu ʻole?,What are you doing on a ridge where no birds are found?,That is a wild goose chase.,haw-a.htm#aha,ON-conc-a-full.htm
512,He ahi ke kapa e mehana ai.,Fire is the garment for warmth.,Said of warmth received from a bonfire.,haw-a.htm#ahi,ON-conc-a-full.htm
513,"He āhole ka iʻa, hole ke aloha.","Āhole is the fish, love is restless.",Said of the āhole fish when used in hana aloha sorcery to arouse love.,haw-a.htm#ahole,ON-conc-a-full.htm
514,"Hea ʻia mai kēia kanaka, malia he inoa i loaʻa iā ʻoe.","Call an invitation to this person, perhaps you know the name.","A request to be called into someone’s home, usually uttered by a passing relative or friend who would like to pause and rest but is not sure that he is recognized by the others.",haw-h.htm#hea,ON-conc-h-full.htm
515,He ʻai e kāhela ai ka uha.,An eating that spreads the intestines.,The enjoyment of a good meal when labor is finished and all is at peace.,haw-k.htm#kahela,ON-conc-k-full.htm
516,"He aikāne, he pūnana na ke onaona.","A friend, a nest of fragrance.",Sweet indeed is a good friend.,haw-a.htm#aikane,ON-conc-a-full.htm
517,He ʻai kuli ke aloha mai nā kūpuna mai.,Love has had a deaf way of its own since the days of the ancestors.,A person who is very much in love often does not heed counsel.,haw-k.htm#kuli,ON-conc-k-full.htm
518,"He ʻai leo ʻole, he ʻīpuka hāmama.",Food unaccompanied by a voice; a door always open.,"Said about the home of a hospitable person. The food can be eaten without hearing a complaint from the owners, and the door is never closed to any visitor.",haw-h.htm#hamama,ON-conc-h-full.htm
519,He ʻai make ka uhi.,The yam is the food of death.,"The yam grows downward in the ground, instead of upward like the taro. When a person digs for yams, he has to be on the watch lest while digging with head down low an enemy strike him on the back of the neck and kill him.",haw-u.htm#uhi,ON-conc-u-full.htm
520,He akua ʻai kahu ka lawena ʻōlelo.,Gossip is a god that destroys its keeper.,Pele was said to be fond of swimming and surfing. While doing so she would pause to eat seafood.,haw-a.htm#akua,ON-conc-a-full.htm
521,He akua ʻai ʻopihi ʻo Pele.,Pele is a goddess who eats limpets.,Pele was said to be fond of swimming and surfing. While doing so she would pause to eat seafood.,haw-a.htm#akua,ON-conc-a-full.htm
522,He akua ʻai pilau.,A filth-eating god.,Said of a god who heeds the voice of a sorcerer and goes on errands of destruction.,haw-a.htm#akua,ON-conc-a-full.htm
523,He ʻakupa.,A black goby.,A derogatory epithet for a person with very dark skin.,haw-a.htm#akupa,ON-conc-a-full.htm
524,He ala ʻehu aku kēnā.,That is an uncertain path.,"The rain, the rainbow, and other signs seen when a chief is abroad are tokens of his recognition by the gods.",haw-e.htm#ehu,ON-conc-e-full.htm
525,He ʻalaʻihi kalaloa e pau ai nā lima i ke ʻekeʻeke.,An ʻalaʻihi kalaloa fish that makes one draw back his hands.,A person that is not to be trifled with. The ʻalaihi have spiny fins that can pierce the hands.,haw-a.htm#alaihi,ON-conc-a-full.htm
526,He ala iki ko kahuna.,A kahuna has a narrow trail.,A kahuna should mind and be careful of what he does.,haw-i.htm#iki,ON-conc-i-full.htm
527,"He ʻalalā, he manu leo nui.","It is the crow, a loud-voiced bird.",Said of a person who talks too loud.,haw-a.htm#alala,ON-conc-a-full.htm
528,He ʻalā makahinu i ke alo o ke aliʻi.,A shiny stone in the presence of a chief.,A person who assumes a bright or vivacious look in hypocrisy. A play on maka (eye) and hinu (bright).,haw-a.htm#ala,ON-conc-a-full.htm
529,He ʻalamihi no ka lae ʻiliʻili.,A mud crab on a rocky point.,Just a noisemaker.,haw-a.htm#alamihi,ON-conc-a-full.htm
530,He ʻale kua loloa no ka moana.,A long-backed wave of the ocean.,The boast of a strong man who likens his back to the waves of the sea.,haw-a.htm#ale,ON-conc-a-full.htm
531,He aliʻi ka ʻāina; he kauā ke kanaka.,The land is a chief; man is its servant.,"Land has no need for man, but man needs the land and works it for a livelihood.",haw-k.htm#kaua,ON-conc-k-full.htm
532,"He aliʻi ka laʻi, he haku na ke aloha.",Peace is a chief the lord of love.,"Where peace is, there love abides also.",haw-h.htm#haku,ON-conc-h-full.htm
533,"He aliʻi ka maʻi, he aliʻi ke kahuna.",The patient is a chief; the kahuna is a chief.,The medical kahuna usually had a servant to do the work of fetching and preparing the herbs he prescribed for his patient. Thus the servant served both kahuna and patient. Often the person who gathered the herbs was an apprentice learning the art from the kahuna.,haw-k.htm#kahuna,ON-conc-k-full.htm
534,He aliʻi ka manu.,A bird is a chief.,A bird flies and perches higher than any human.,,ON/ON-conc-he.htm
535,He aliʻi ka moa.,The rooster is a chief.,"His feathers are used in kāhili, which are the symbols of chiefs.",haw-m.htm#moa,ON-conc-m-full.htm
536,"He aliʻi ke aloha, he kilohana e paʻa ai.",Love is like a chief: the best prize to hold fast to.,"Said in admiration of a tall, well-formed person.",haw-k.htm#kilohana,ON-conc-k-full.htm
537,"He aliʻi ke aloha, he ʻohu no ke kino.","Love is chiefy, an adornment for the person.",Uttered by Hiʻiaka in a chant to the sister of Lohiʻau.,haw-k.htm#kino,ON-conc-k-full.htm
538,He aliʻi kia manu.,A chief that catches birds with a gummed pole.,"Said of one who draws people to him. From a song for Kalākaua, who was known to attract people.",haw-k.htm#kia,ON-conc-k-full.htm
539,He aliʻi no ka malu kukui.,A chief of the kukui shade.,A chief who has something shady in his genealogy that he doesn’t care to discuss.,haw-k.htm#kukui,ON-conc-k-full.htm
540,He aliʻi nō mai ka paʻa a ke aliʻi; he kanaka nō mai ka paʻa a ke kanaka.,A chief from the foundation of chiefs; a commoner from the foundation of commoners.,"A chief is a chief because his ancestors were; a commoner is a commoner because his ancestors were. Often said to a young person of chiefly lineage to warn that if he wishes to preserve the rank of his descendants, he should see that his mate is of chiefly rank and not a commoner.",,ON/ON-conc-a.htm
541,He ʻaloʻalo kuāua no kuahiwi.,One who faced the mountain showers.,A brave person.,haw-a.htm#aloalo,ON-conc-a-full.htm
542,"He ʻāloʻiloʻi, ka iʻa waha iki o ke kai.","An ʻāloʻiloʻi, a fish of the sea that has a small mouth.",Said of one who always has little to say.,haw-a.htm#aloiloi,ON-conc-a-full.htm
543,"He ana ka manaʻo o ke kanaka, ʻaʻole ʻoe e ʻike iā loko.",The thoughts of man are like caves whose interiors one cannot see.,"Said of one who helps a lost person find his way home. The goddess Kaiona, who lived in the Waiʻanae Mountains of Oʻahu, was said to have pet birds who could guide anyone lost in the forest back to his companions.",haw-l.htm#loko,ON-conc-l-full.htm
544,"He ao hākumakuma wale nō, ʻaʻohe ua.","It is only a lowering, and there will not be any rain.",Said of one who frowns and glowers but does nothing to hurt.,haw-a.htm#ao,ON-conc-a-full.htm
545,"He ʻaʻo ka manu noho i ka lua, ʻaʻole e loaʻa i ka lima ke nao aku.","It is an ʻaʻo, a bird that lives in a burrow and cannot he caught even when the arm is thrust into the hole.",Said of a person who is too smart to be caught.,haw-a.htm#ao,ON-conc-a-full.htm
546,He ʻaʻo kani kohā ke aliʻi.,The chief is like a loud-voiced ʻaʻo.,Said of the mother of an only child.,haw-a.htm#ao,ON-conc-a-full.htm
547,He ʻapu ʻauhuhu kōheoheo.,A poisonous concoction made of ʻauhuhu.,A person of poisonous nature.,haw-a.htm#apu,ON-conc-a-full.htm
548,He ʻauhau kōʻele na ka Hawaiʻi.,A taxing of small fields by the Hawaii chiefs.,"After Kamehameha united the islands, even the smallest food patch was taxed.",haw-a.htm#auhau,ON-conc-a-full.htm
549,He au holo a ka ʻōlohelohe.,A running place for the naked one.,Used when one is disappointed in an undertaking. To dream of nakedness is an omen of bad luck.,haw-h.htm#holo,ON-conc-h-full.htm
550,He au Koʻolau aku ia.,That is Koʻolau weather.,"The Koʻolau, or windward, side of an island is often storm-beaten. This expression was first used in a chant to Hiʻiaka by Wahineʻomaʻo, who pleaded with her not to let her wrath lead to destruction. Later used as a warning that headstrong wilfulness leads to distress.",haw-k.htm#kookoo,ON-conc-k-full.htm
551,"He ʻaumakua hoʻoluhi, hōʻapaʻapa i ke kahuna.",An ʻaumakua that does not help is a burden to the kahuna.,Prophesied by David Malo.,haw-a.htm#aumakua,ON-conc-a-full.htm
552,He aupuni ko Kamehameha.,Kamehameha has a government.,A warning not to steal. Kamehameha united the islands and made laws that gave everyone peace and safety. Killing and stealing were utterly prohibited.,haw-a.htm#aupuni,ON-conc-a-full.htm
553,He aupuni palapala koʻu; ʻo ke kanaka pono ʻo ia koʻu kanaka.,Mine is the kingdom of education; the righteous man is my man.,Uttered by Kamehameha III.,haw-a.htm#aupuni,ON-conc-a-full.htm
554,"He ʻauwai ka manaʻo o nā aliʻi, ʻaʻohe maopopo kahi e kahe ai.",The minds of chiefs are like a ditch — no one knows whither they flow.,No one knows whom or what the chiefs will favor.,haw-a.htm#auwai,ON-conc-a-full.htm
555,Hea wawalo ke kai o ʻOʻokala.,The sea of ʻOʻokala sends forth an echoing call.,Said in humor of any loud call. A play on ʻO (hail) and kala (proclaim).,haw-h.htm#hea,ON-conc-h-full.htm
556,"He ʻeʻepa ke aloha, he kulaʻilua.",Love is peculiar; it pushes in opposite directions.,Love goes two ways — to love and to be loved.,haw-e.htm#eepa,ON-conc-e-full.htm
557,He ʻehu wāwae no kalani.,A trace of the heavenly one’s footsteps.,"The rain, the rainbow, and other signs seen when a chief is abroad are tokens of his recognition by the gods.",haw-e.htm#ehu,ON-conc-e-full.htm
558,He ʻelele ka moe na ke kanaka.,A dream is a bearer of messages to man.,A letter. It brings messages but does not speak.,haw-e.htm#elele,ON-conc-e-full.htm
559,He hāʻawe pili.,Carriers of bundles of pili grass.,"A derogatory saying by the followers of Kamehameha for the people of Kaʻū, who covered the road of Kapaukua with pili grass for their chief Keouakuahuʻula.",haw-h.htm#haawe,ON-conc-h-full.htm
560,"He hālau a hālau ko ka niu, hoʻokahi nō hālau o ka niuniu.",The coconut tree has many shelters to go to; but the person who merely aspires has but one.,Said in scom to or of a person of low rank who assumes the air of a chief. A true chief (niu) is welcome every-where he goes; a pretender is only welcome in his own circle.,haw-h.htm#halau,ON-conc-h-full.htm
561,He hālau loa na ʻĪ.,A longhouse belonging to ʻĪ.,"ʻĪ was a wise and generous chief and because he was an ancestor of many, he was referred to as the owner of the longhouse in which all were sheltered. ʻĪ also had a large longhouse in Hilo called ʻĪ-hālau, and a fish station at sea called ʻĪ-koʻa. It is said that when those of ʻĪ-hālau closed their food bowls all at once after eating, the sound could be heard at ʻĪ-koʻa.",haw-i.htm#i,ON-conc-i-full.htm
562,"He hale kanaka, ke ʻalalā ala no keiki, ke hae ala no ka ʻīlio.","It is an inhabited house, for the wail of children and the bark of a dog are heard.",The signs of living about a home are the voices of humanity and animals. Used in answer to someone’s apology over their children crying or dogs barking.,haw-a.htm#alala,ON-conc-a-full.htm
563,He hale ke kino no ka manaʻo.,The body is a house for the thoughts.,Said of a weakling.,haw-k.htm#kino,ON-conc-k-full.htm
564,He hale kipa nō lā hoʻi ko ke kōlea haʻihaʻi ʻē ʻia nā iwi.,The house of a plover might have been that of a friend if one hadn’t broken his bones.,A stranger might have been a friend if he hadn’t been treated so shamefully.,haw-e.htm#e,ON-conc-e-full.htm
565,He hamo hulu puna ma waho.,A brushing on the outside with whitewash.,A friendly exterior only.,haw-h.htm#hamo,ON-conc-h-full.htm
566,"He hānai aliʻi, he ʻai ahupuaʻa.",The rearing of a chief is the ruling of an ahupuaʻa.,A person in whose care a young chief was placed was often rewarded with a large tract of land.,haw-a.htm#ahupuaa,ON-conc-a-full.htm
567,He hana maka ʻenaʻena.,"A work that causes red, hot eyes.",A task that requires so much work it deprives one of sleep.,haw-e.htm#enaena,ON-conc-e-full.htm
568,He hāpuʻu ka ʻai he ʻai make.,"If the hāpuʻu is the food, it is the food of death.","When famine came many depended on hāpuʻu to sustain life, but it required much work to prepare. There was the cutting, the preparation of the imu, and three whole days during which the hāpuʻu cooked. If the food was done then, hunger was stayed; if not, there was another long delay, and by that time someone may have starved to death.",haw-h.htm#hapuu,ON-conc-h-full.htm
569,He hauʻoli ka ukali o ka lanakila.,Gladness follows in the wake of victory.,"Said of a person of outstanding achievement. Also used in praise of Hāʻupu, Kauaʻi.",haw-h.htm#hauoli,ON-conc-h-full.htm
570,He Hawaiʻi ʻuala Kahiki.,An Irish-potato Hawaiian.,A term of derision applied to a native Hawaiian who apes the ways of the whites instead of appreciating the culture of his own people. Also said to one who is absolutely ignorant of his own culture.,haw-h.htm#hawahawa,ON-conc-h-full.htm
571,He heʻe hōlua.,One who rides a hōlua sled.,"Said proudly of being a descendant of the chiefly families of Waipiʻo, Hawaiʻi, who were well known for their skill in hōlua sledding.",haw-h.htm#hee,ON-conc-h-full.htm
572,"He heʻe ka iʻa, he iʻa kino palupalu.","It is an octopus, a soft-bodied creature.",Said of a weakling.,haw-h.htm#hee,ON-conc-h-full.htm
573,"He heʻe nui, ke ʻula ala.",It is a large octopus because it shows a red color.,"A man went to farm one day and met another squatting carelessly as he worked. He made this remark, often used later to refer to a man who exposes himself.",haw-h.htm#hee,ON-conc-h-full.htm
574,He hele pīlali ʻāina maoli nō.,"A sticky going, as if stuck fast to the land.",Said of one who is preoccupied and forgets to go home.,haw-m.htm#maoli,ON-conc-m-full.htm
575,"He hiʻi alo ua milimili ʻia i ke alo, ua hāʻawe ʻia ma ke kua, ua lei ʻia ma ka ʻāʻī.","A beloved one, fondled in the arms, carried on the back, whose arms have gone ahout the neck as a lei. Said of a beloved child.",Refers to food containers that were carried suspended from poles.,haw-a.htm#ai,ON-conc-a-full.htm
576,Hehi i ka pili.,Trample on the relationship.,To abolish or disown the relationship.,haw-h.htm#hehi,ON-conc-h-full.htm
577,He hikuhiku nā kini akua.,"The host of gods are many, many.",There are none higher than the gods.,haw-h.htm#hikuhiku,ON-conc-h-full.htm
578,He hilu na ke aliʻi.,A hilu belonging to a chief.,"When a pregnant woman longed for hilu fish, the child born to her would be a very quiet, well-behaved person. Because chiefs liked reserved, well-mannered people, such persons were often found in the royal courts, and were referred to as the chief’s hilu fish.",haw-h.htm#hilu,ON-conc-h-full.htm
579,"He hina na ka ʻaʻaliʻi kūmakani, he ʻulaʻa pū me ka lepo.","When the wind-resisting ʻaʻaliʻi falls, it lifts the sod up with its roots.","A boast: When I, a powerful man, fall, others will fall with me.",haw-a.htm#aalii,ON-conc-a-full.htm
580,He hōʻailona ke ao i ʻike ʻia.,Clouds are recognized signs.,"The glory of the land has departed. Also, the person is dead.",haw-h.htm#hoailona,ON-conc-h-full.htm
581,He hoa ʻai waiū paha no Kauahoa.,Perhaps he shared the breast with Kauahoa.,"Said of one who is indifferent to the problems of others. A play on uahoa (hard) in Kauahoa, a warrior of Kauaʻi.",haw-h.htm#hoa,ON-conc-h-full.htm
582,He hoa ka ua no Alakaʻi.,The rain is a companion to Alakaʻi.,"Alaka’i, Kauaʻi, does not lack rain.",haw-a.htm#alaihi,ON-conc-a-full.htm
583,He hoa kuilima no Lāʻauhaele.,A companion to walk hand in hand with at Lāʻauhaele.,"An interesting, friendly companion. A play on haele (go together). Refers to Lāʻauhaele, Kauaʻi.",haw-k.htm#kuilima,ON-conc-k-full.htm
584,"He hoa manu nēnē, he hoʻi nō a paumāʻele i ka hale.",A goose mate returns to pollute the house.,Said to a mate whose relative disgraces the family by committing fornication or adultery with another member.,haw-n.htm#nene,ON-conc-n-full.htm
585,He hoa ʻōhumuhumu.,A companion to whom one can voice one’s woes.,An expression of admiration for a good-looking person.,haw-o.htm#ohumuhumu,ON-conc-o-full.htm
586,He hoapili o Mākālei.,A companion of Mākālei.,Said of an attractive person.,haw-h.htm#hoapili,ON-conc-h-full.htm
587,He hōʻike na ka pō.,A revelation of the night.,"A revelation from the gods in dreams, visions, and omens.",haw-h.htm#hoike,ON-conc-h-full.htm
588,He hoʻīlina ka make no ke kino.,Death is an inheritance for the hody.,Kāne was the god of fresh water and life.,haw-h.htm#hoilina,ON-conc-h-full.htm
589,He honu ka ʻāina he mea paneʻe wale.,Land is like a turtle: it moves on.,Land passes slowly but inexorably from owner to heir.,haw-h.htm#honu,ON-conc-h-full.htm
590,He honu maeaea akula ia.,It is a māeaea variety of turtle.,He is a stinker. A play on māeaea (unpleasant smelling).,haw-h.htm#honu,ON-conc-h-full.htm
591,He hoʻokahi no wai o ka like.,All dyed with the same color.,Identical.,haw-h.htm#hookahi,ON-conc-h-full.htm
592,He hoʻokele waʻa no ka lā ʻino.,A canoe steersman for a stormy day.,A courageous person.,haw-h.htm#hookele,ON-conc-h-full.htm
593,He hoʻolua pikaʻo.,Food that has to be recooked.,Similar to the expression “half-baked.”,haw-h.htm#hoolua,ON-conc-h-full.htm
594,He hou moe kāheka.,A hou fish that sleeps in a sea pool.,Said of a person who snores. The hou when sleeping makes a snoring sound.,haw-h.htm#hou,ON-conc-h-full.htm
595,"He hou ʻoe, he iʻa moe ahiahi.","You are a hou, a fish that sleeps in the evening.","A small, inoffensive fellow — but one who will fight when annoyed.",haw-a.htm#ahiahi,ON-conc-a-full.htm
596,He hua kahi.,A single seed.,An only child.,haw-h.htm#hua,ON-conc-h-full.htm
597,"He huakaʻi paoa, he pili i ka iwi.",An unlucky journey in which the body was wagered.,Suffering.,haw-h.htm#huakai,ON-conc-h-full.htm
598,He huewai ola ke kanaka na Kāne.,Man is Kāne’s living water gourd.,Water is life and Kāne is the keeper of water. To dream of a well-filled water gourd that breaks and spills its contents is a warning of death for someone in the family.,haw-h.htm#huewai,ON-conc-h-full.htm
599,He hulu aliʻi.,Royal feathers.,"Said of the adornment of a chief, or of an elderly chief himself who is one of a few survivors of his generation and therefore precious.",haw-h.htm#hulu,ON-conc-h-full.htm
600,He huluhulu kau i ka puka ihu.,Hair growing inside of the nostril.,Said in envy of a person who is regarded as a favorite by a superior — he is so closely allied to the person that he is likened to a hair in the other’s nostril. Also said in criticism of one who is made too much of.,haw-h.htm#huluhulu,ON-conc-h-full.htm
601,He hulu makua.,A feather parent.,"When most of the relatives of the parents’ generation were gone, the few left were referred to as hulu mākua and considered as precious and choice as feathers. Hulu can refer to relatives as far back as three generations.",haw-h.htm#hulu,ON-conc-h-full.htm
602,He hupo no ka waʻa pae.,A stupid one belonging to the canoe landing.,Little skill is required to get a canoe out of the water at a landing. Said of one whose knowledge is very shallow and whose skill is practically nil.,haw-h.htm#hupo,ON-conc-h-full.htm
603,"He iʻa ia no Kahoʻolawe, he uku.","It is the fish of Kahoʻolawe, the uku.",He shall be made to pay. A play on uku (reward or recompense).,haw-k.htm#kahilihili,ON-conc-k-full.htm
604,He iʻa i pā i ka makau.,A fish that had once taken a hook.,Said of a person made wary by an unpleasant experience.,haw-m.htm#makau,ON-conc-m-full.htm
605,He iʻa kokoke kā ka lawaiʻa.,A fisherman always finds fish nearby.,Said of one who can get what he wants because he is smart.,haw-k.htm#kokoke,ON-conc-k-full.htm
606,Hei akula i ka ʻupena kuʻu a ka Lawakua.,Caught in the drawnet of the Lawakua breeze.,Ensnarled by beguiling words.,haw-h.htm#hei,ON-conc-h-full.htm
607,"He iʻa laka ka loli kaʻe, he loaʻa wale i kāheka.","The loli kaʻe is easy enough to gather, for it is found in sea pools.","Said of a cross, dissatisfied person who becomes grumpy. A play on kaʻe (grumpy) in loli kaʻe (sea cucumber).",haw-k.htm#kae,ON-conc-k-full.htm
608,He iʻa laka nō lā hoʻi ka ʻina.,The ʻina is easily gathered.,"A retort to a person who frequently says, “If I had this” or “If I had that.” A play on ʻina (sea egg) and inā (if).",haw-i.htm#ina,ON-conc-i-full.htm
609,He iʻa loaʻa wale nō hoʻi ka poʻopaʻa.,A poʻopaʻa is a fish easy to catch.,Hard-headed people are fairly common. A play on poʻopaʻa (hard-headed).,haw-p.htm#poopaa,ON-conc-p-full.htm
610,He iʻa make ka ʻopihi.,The ʻopihi is a fish of death.,The ʻopihi is usually found on rocks where the sea is rough. There is always danger of being washed away by the waves when gathering ʻopihi.,haw-o.htm#opihi,ON-conc-o-full.htm
611,He iʻa moʻa ʻole i kālua.,A fish that can never he cooked.,Said of a person of low rank. Nothing can change his genealogy.,haw-k.htm#kalua,ON-conc-k-full.htm
612,"He iʻa no ka moana, he aho loa kū i ke koʻa.",A fish of the deep sea requires a long line that reaches the sea floor.,"In order to obtain a good position, one must prepare.",haw-a.htm#aho,ON-conc-a-full.htm
613,"He iʻa no ka pāpaʻu, he loaʻa wale i ka hopu lima; he iʻa no ka hohonu, noho i kaʻeaʻea.",Fish of the shallows are easy to catch with the hands; but fish of the depths keep the fisherman wet with sea sprays.,Ordinary folks are easy to find but an outstanding one is not.,haw-h.htm#hohonu,ON-conc-h-full.htm
614,He iʻa no ke kai kohola.,A fish of the shallow sea.,A person easy to woo.,haw-k.htm#kohola,ON-conc-k-full.htm
615,He iʻa pae wale no kaʻuwīʻuwī.,The ʻuwīʻuwī is a fish that washes ashore.,Said of a ne’er-do-well who goes from house to house and depends on others for his livelihood.,haw-k.htm#kauwiuwi,ON-conc-k-full.htm
616,He iʻa ua nipoa i ka ʻauhuhu.,A fish stunned by ʻauhuhu juice.,Said of one under the influence of sorcery or other evils.,haw-a.htm#auhuhu,ON-conc-a-full.htm
617,"He ihona, he piʻina, he kaolo.","A going down, a going up, a going on a level road.",So it is with life.,haw-i.htm#ihona,ON-conc-i-full.htm
618,"He ikaika ke kanaka kaena i ka wā pilikia ʻole, akā he hōhē wale i ka lā o ka pilikia.","A braggart is strong when there is no trouble, but flees when there is.",Said of friends who will laugh and play in the moonlight but who will not lend a hand when daylight and labor come.,haw-a.htm#aka,ON-conc-a-full.htm
619,"He ikaika nō nā ʻehu kakahiaka no nā ʻōpio, a piʻi aʻe ka lā heha mai a holo.","The morning is full of strength for youth, but when the sun is high they become tired and run.",Said of the young who do not work as persistently as their parents — they start well but soon quit.,haw-a.htm#ae,ON-conc-a-full.htm
620,He ʻike ʻana ia i ka pono.,It is a recognizing of the right thing.,One has seen the right thing to do and has done it.,haw-a.htm#ana,ON-conc-a-full.htm
621,He ʻike nāwele.,A scanty vision.,To be hardly able to see or to have very scanty knowledge of anything.,haw-n.htm#nawele,ON-conc-n-full.htm
622,He ʻike pāpālua.,Dual knowledge.,Said of one who is gifted with extra-sensory perception or second sight.,haw-p.htm#papalua,ON-conc-p-full.htm
623,He iki ʻaʻaliʻi kū makani o Piʻiholo.,"A small, wind-resisting ʻaʻaliʻi bush of Piʻiholo.",A small but powerful person.,haw-a.htm#aalii,ON-conc-a-full.htm
624,"He iki hala au no Keaʻau, ʻaʻohe pōhaku ʻalā e nahā ai.","I am a small hala fruit of Keaʻau, but there is no rock hard enough to smash me.","The boast of a Puna man — I am small, perhaps, but mighty.",haw-a.htm#ala,ON-conc-a-full.htm
625,He iki huna lepo mai kēia e pula ai ka maka.,This is a small speck of dust that causes a roughness in the eye.,"One may be small but he can still cause distress. This was the retort of Kaʻehuiki, a shark-god of Puna, when he was taunted for his small size by Kaiʻanuilalawalu, shark-god of Kīpahulu, Maui.",haw-h.htm#huna,ON-conc-h-full.htm
626,He iki moʻolelo na ke kuhi wale.,A small tale told by a guesser.,Said in contempt of a fabricator of stories.,haw-k.htm#kuhi,ON-conc-k-full.htm
627,He iki nīoi no Pakaʻalana.,A small nīoi of Pakaʻalana.,"A small but very powerful person. The nīoi, the ʻohe, and the kauila were the kinds of trees entered by the poison gods Kāneikaulanaʻula and Kahuilaokalani, and Kapo, a goddess, at Maunaloa, Molokaʻi. The trees were later cut down and made into images.",haw-n.htm#nioi,ON-conc-n-full.htm
628,He ʻīlio kawaū.,"A damp, cold dog.","Used disparagingly or humorously of a person who shivers and is afraid of the cold. Dogs in old Hawaiʻi were rarely pampered and petted and were often seen shivering in cold, damp weather.",haw-i.htm#ilio,ON-conc-i-full.htm
629,He ʻīlio welu moe poli.,A well-fed dog that sleeps in the bosom.,Said of a well-fed pet dog or of a person who is able to work but is too pampered to want to.,haw-i.htm#ilio,ON-conc-i-full.htm
630,He ʻili puakea.,Skin like a white blossom.,Said of a white person.,haw-i.htm#ili,ON-conc-i-full.htm
631,"He ʻimi aliʻi, he aliʻi nō ke loaʻa; he ʻimi kanaka, he kanaka no ke loaʻa.","When a chief is sought, a chief is begotten; when a commoner is sought, a commoner is begotten.",A reminder to a chief seeking a mate to consider the rank of his offspring.,haw-i.htm#imi,ON-conc-i-full.htm
